Count,Instrument 1,Instrument 2,Section,
86,Snare Drum,Tom-tom,Verse 1,
e,,,Verse 1,
&,Hi-Hat (Open),,Verse 1,
a,,,Verse 1,
87,Bass Drum,Hi-Hat (Open),Verse 1,
e,,,Verse 1,
&,Snare Drum,Tom-tom,Verse 1,44
a,,,Verse 1,
88,Bass Drum,,Verse 1,
e,,,Verse 1,
&,Snare Drum,Tom-tom,Verse 1,
a,,,Verse 1,
89,Bass Drum,,Verse 1,
e,,,Verse 1,
&,Bass Drum,Ghost Note,Verse 1,45
a,,,Verse 1,
90,Ghost Note,,Verse 1,
e,,,Verse 1,
&,Snare Drum,Ghost Note,Verse 1,
a,,,Verse 1,
91,Bass Drum,Ghost Note,Verse 1,
e,,,Verse 1,
&,Bass Drum,Ghost Note,Verse 1,46
a,,,Verse 1,
92,Ghost Note,,Verse 1,
e,,,Verse 1,
&,Snare Drum,Ghost Note,Verse 1,
a,,,Verse 1,
93,Bass Drum,Ghost Note,Verse 1,
e,,,Verse 1,
&,Bass Drum,Ghost Note,Verse 1,47
a,,,Verse 1,
94,Ghost Note,,Verse 1,
e,,,Verse 1,
&,Snare Drum,Ghost Note,Verse 1,
a,,,Verse 1,
95,Bass Drum,Ghost Note,Verse 1,
e,,,Verse 1,
&,Bass Drum,Ghost Note,Verse 1,48
a,,,Verse 1,
96,Ghost Note,,Verse 1,
e,,,Verse 1,
&,Snare Drum,Ghost Note,Verse 1,
a,,,Verse 1,
97,Bass Drum,Ghost Note,Verse 1,
e,,,Verse 1,
&,Bass Drum,Ghost Note,Verse 1,49
a,,,Verse 1,
98,Ghost Note,,Verse 1,
e,,,Verse 1,
&,Snare Drum,Ghost Note,Verse 1,
a,,,Verse 1,
99,Bass Drum,Ghost Note,Verse 1,
e,,,Verse 1,
&,Bass Drum,Ghost Note,Verse 1,50
a,,,Verse 1,
100,Ghost Note,,Verse 1,
e,,,Verse 1,
&,Snare Drum,Ghost Note,Verse 1,
a,,,Verse 1,
101,Bass Drum,Ghost Note,Verse 1,
e,,,Verse 1,
&,Bass Drum,Ghost Note,Verse 1,51
a,,,Verse 1,
102,Ghost Note,,Verse 1,
e,,,Verse 1,
&,Snare Drum,Ghost Note,Verse 1,
a,,,Verse 1,
103,Bass Drum,Ghost Note,Verse 1,
e,,,Verse 1,
&,Bass Drum,Ghost Note,Chorus,52
a,,,Chorus,
104,Bass Drum,Ghost Note,Chorus,
e,,,Chorus,
&,Snare Drum,Ghost Note,Chorus,
a,,,Chorus,
105,Bass Drum,Ghost Note,Chorus,
e,,,Chorus,
&,Bass Drum,Ghost Note,Chorus,53
a,,,Chorus,
