Count,Instrument 1,Instrument 2,Section,
60,Bass Drum,Hi-Hat (Open),Intro 3,
e,,,Intro 3,
&,Hi-Hat (Open),,Intro 3,
a,,,Intro 3,
61,Snare Drum,Hi-Hat (Open),Intro 3,31
e,,,Intro 3,
&,Bass Drum,Hi-Hat (Open),Intro 3,
a,,,Intro 3,
62,Bass Drum,Hi-Hat (Open),Intro 3,
e,,,Intro 3,
&,Hi-Hat (Open),,Intro 3,
a,,,Intro 3,
63,Snare Drum,Hi-Hat (Open),Intro 3,32
e,,,Intro 3,
&,Bass Drum,Hi-Hat (Open),Intro 3,
a,,,Intro 3,
64,Bass Drum,Hi-Hat (Open),Intro 3,
e,,,Intro 3,
&,Hi-Hat (Open),,Intro 3,
a,,,Intro 3,
65,Snare Drum,Hi-Hat (Open),Intro 3,33
e,,,Intro 3,
&,Bass Drum,Hi-Hat (Open),Intro 3,
a,,,Intro 3,
66,Bass Drum,Hi-Hat (Open),Intro 3,
e,,,Intro 3,
&,Hi-Hat (Open),,Intro 3,
a,,,Intro 3,
67,Snare Drum,Hi-Hat (Open),Intro 3,34
e,,,Intro 3,
&,Bass Drum,Hi-Hat (Open),Intro 3,
a,,,Intro 3,
68,Bass Drum,Hi-Hat (Open),Intro 3,
e,,,Intro 3,
&,Hi-Hat (Open),,Intro 3,
a,,,Intro 3,
69,Snare Drum,Hi-Hat (Open),Intro 3,35
e,,,Intro 3,
&,Bass Drum,Hi-Hat (Open),Intro 3,
a,,,Intro 3,
70,Bass Drum,Hi-Hat (Open),Intro 3,
e,,,Intro 3,
&,Hi-Hat (Open),,Intro 3,
a,,,Intro 3,
71,Snare Drum,Hi-Hat (Open),Verse 1,36
e,,,Verse 1,
&,Bass Drum,Hi-Hat (Open),Verse 1,
a,,,Verse 1,
72,Bass Drum,Hi-Hat (Open),Verse 1,
e,,,Verse 1,
&,Hi-Hat (Open),,Verse 1,
a,,,Verse 1,
73,Snare Drum,Hi-Hat (Open),Verse 1,37
e,,,Verse 1,
&,Bass Drum,Hi-Hat (Open),Verse 1,
a,,,Verse 1,
74,Bass Drum,Hi-Hat (Open),Verse 1,
e,,,Verse 1,
&,Snare Drum,Tom-tom,Verse 1,
a,,,Verse 1,
75,Hi-Hat (Open),,Verse 1,38
e,,,Verse 1,
&,Bass Drum,Hi-Hat (Open),Verse 1,
a,,,Verse 1,
76,Snare Drum,Tom-tom,Verse 1,
e,,,Verse 1,
&,Bass Drum,,Verse 1,
a,,,Verse 1,
77,Snare Drum,Tom-tom,Verse 1,39
e,,,Verse 1,
&,Bass Drum,,Verse 1,
a,,,Verse 1,
78,Bass Drum,Ghost Note,Verse 1,
e,,,Verse 1,
&,Ghost Note,,Verse 1,
a,,,Verse 1,
79,Snare Drum,Ghost Note,Verse 1,40
e,,,Verse 1,
&,Bass Drum,Ghost Note,Verse 1,
a,,,Verse 1,
80,Bass Drum,Ghost Note,Verse 1,
e,,,Verse 1,
&,Ghost Note,,Verse 1,
a,,,Verse 1,
81,Snare Drum,Ghost Note,Verse 1,41
e,,,Verse 1,
&,Bass Drum,Ghost Note,Verse 1,
a,,,Verse 1,
82,Bass Drum,Ghost Note,Verse 1,
e,,,Verse 1,
&,Ghost Note,,Verse 1,
a,,,Verse 1,
83,Snare Drum,Ghost Note,Verse 1,42
e,,,Verse 1,
&,Bass Drum,Ghost Note,Verse 1,
a,,,Verse 1,
84,Bass Drum,Ghost Note,Verse 1,
e,,,Verse 1,
&,Ghost Note,,Verse 1,
a,,,Verse 1,
85,Snare Drum,Ghost Note,Verse 1,43
e,,,Verse 1,
&,Bass Drum,Ghost Note,Verse 1,
a,,,Verse 1,
86,Bass Drum,Ghost Note,Verse 1,
e,,,Verse 1,
&,Ghost Note,,Verse 1,
a,,,Verse 1,
87,Snare Drum,Ghost Note,Verse 1,44
e,,,Verse 1,
&,Bass Drum,Ghost Note,Verse 1,
a,,,Verse 1,
88,Bass Drum,Ghost Note,Verse 1,
e,,,Verse 1,
&,Ghost Note,,Verse 1,
a,,,Verse 1,
89,Snare Drum,Ghost Note,Verse 1,45
e,,,Verse 1,
&,Bass Drum,Ghost Note,Verse 1,
a,,,Verse 1,
90,Bass Drum,Ghost Note,Verse 1,
e,,,Verse 1,
&,Ghost Note,,Verse 1,
a,,,Verse 1,
91,Snare Drum,Ghost Note,Verse 1,46
e,,,Verse 1,
&,Bass Drum,Ghost Note,Verse 1,
a,,,Verse 1,
92,Bass Drum,Ghost Note,Verse 1,
e,,,Verse 1,
&,Bass Drum,Ghost Note,Verse 1,
a,,,Verse 1,
93,Snare Drum,Ghost Note,Verse 1,47
e,,,Verse 1,
&,Bass Drum,Ghost Note,Verse 1,
a,,,Verse 1,
94,Bass Drum,Ghost Note,Verse 1,
e,,,Verse 1,
&,Ghost Note,,Verse 1,
a,,,Verse 1,
95,Snare Drum,Ghost Note,Verse 1,48
e,,,Verse 1,
&,Bass Drum,Ghost Note,Verse 1,
a,,,Verse 1,
96,Bass Drum,Ghost Note,Verse 1,
e,,,Verse 1,
&,Ghost Note,,Verse 1,
a,,,Verse 1,
97,Snare Drum,Ghost Note,Verse 1,49
e,,,Verse 1,
&,Bass Drum,Ghost Note,Verse 1,
a,,,Verse 1,
98,Bass Drum,Ghost Note,Verse 1,
e,,,Verse 1,
&,Ghost Note,,Verse 1,
a,,,Verse 1,
99,Snare Drum,Ghost Note,Verse 1,50
e,,,Verse 1,
&,Bass Drum,Ghost Note,Verse 1,
a,,,Verse 1,
100,Bass Drum,Ghost Note,Verse 1,
e,,,Verse 1,
&,Ghost Note,,Verse 1,
a,,,Verse 1,
101,Snare Drum,Ghost Note,Verse 1,51
e,,,Verse 1,
&,Bass Drum,Ghost Note,Verse 1,
a,,,Verse 1,
102,Bass Drum,Ghost Note,Verse 1,
e,,,Verse 1,
&,Ghost Note,,Verse 1,
a,,,Verse 1,
103,Snare Drum,Ghost Note,Chorus,52
e,,,Chorus,
&,Bass Drum,Ghost Note,Chorus,
a,,,Chorus,
104,Bass Drum,Ghost Note,Chorus,
e,,,Chorus,
&,Ghost Note,,Chorus,
a,,,Chorus,
105,Snare Drum,Ghost Note,Chorus,53
e,,,Chorus,
&,Bass Drum,Ghost Note,Chorus,
a,,,Chorus,
106,Bass Drum,Ghost Note,Chorus,
e,,,Chorus,
&,Snare Drum,Tom-tom,Chorus,
a,,,Chorus,
107,Ghost Note,,Chorus,54
e,,,Chorus,
&,Bass Drum,Ghost Note,Chorus,
a,,,Chorus,
108,Snare Drum,Tom-tom,Chorus,
e,,,Chorus,
&,Bass Drum,,Chorus,
a,,,Chorus,
109,Snare Drum,Tom-tom,Chorus,55
e,,,Chorus,
&,Bass Drum,,Chorus,
a,,,Chorus,
110,Bass Drum,Tom-tom,Chorus,
e,,,Chorus,
&,Hi-Hat (Open),,Chorus,
a,,,Chorus,
111,Snare Drum,Hi-Hat (Open),Chorus,56
e,,,Chorus,
&,Bass Drum,Tom-tom,Chorus,
a,,,Chorus,
112,Hi-Hat (Open),,Chorus,
e,,,Chorus,
&,Bass Drum,Hi-Hat (Open),Chorus,
a,,,Chorus,
113,Snare Drum,Hi-Hat (Open),Chorus,57
e,,,Chorus,
&,Hi-Hat (Open),,Chorus,
a,,,Chorus,
114,Bass Drum,Tom-tom,Chorus,
e,,,Chorus,
&,Hi-Hat (Open),,Chorus,
a,,,Chorus,
115,Snare Drum,Hi-Hat (Open),Chorus,58
e,,,Chorus,
&,Bass Drum,Tom-tom,Chorus,
