Count,Instrument 1,Instrument 2,Section,
254,Bass Drum,Tom-tom,,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
255,Snare Drum,Hi-Hat (Open),,128
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
256,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
257,Snare Drum,Hi-Hat (Open),,129
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
258,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
259,Snare Drum,Hi-Hat (Open),,130
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
260,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
261,Snare Drum,Hi-Hat (Open),,131
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
262,Bass Drum,Tom-tom,,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
263,Snare Drum,Hi-Hat (Open),,132
e,,,,
&,Bass Drum,Tom-tom,,
a,,,,
264,Hi-Hat (Open),,,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
265,Snare Drum,Hi-Hat (Open),,133
e,,,,
&,Hi-Hat (Open),,,
a,,,,
266,Bass Drum,Tom-tom,,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
267,Snare Drum,Hi-Hat (Open),,134
e,,,,
&,Bass Drum,Tom-tom,,
a,,,,
268,Hi-Hat (Open),,,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
269,Snare Drum,Hi-Hat (Open),,135
e,,,,
&,Hi-Hat (Open),,,
a,,,,
270,Bass Drum,Tom-tom,,
e,,,,
&,Tom-tom,Snare Drum,,
a,,,,
271,Tom-tom,Snare Drum,,136
e,,,,
&,Tom-tom,Snare Drum,,
a,,,,
272,Tom-tom,Snare Drum,,
e,,,,
&,Tom-tom,Snare Drum,,
a,,,,
273,Tom-tom,Snare Drum,,137
e,,,,
&,Tom-tom,Snare Drum,,
a,,,,
274,Tom-tom,Snare Drum,,
e,,,,
&,Tom-tom,Snare Drum,,
a,,,,
275,Tom-tom,Snare Drum,,138
e,,,,
&,Tom-tom,Snare Drum,,
a,,,,
276,Tom-tom,Snare Drum,,
e,,,,
&,Bass Drum,,,
a,,,,
277,Snare Drum,Snare Drum,,139
e,,,,
&,,,,
a,,,,
278,Bass Drum,Tom-tom,,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
279,Snare Drum,Hi-Hat (Open),,140
e,,,,
&,Bass Drum,Tom-tom,,
a,,,,
280,Hi-Hat (Open),,,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
281,Snare Drum,Hi-Hat (Open),,141
e,,,,
&,Hi-Hat (Open),,,
a,,,,
282,Bass Drum,Tom-tom,,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
283,Snare Drum,Hi-Hat (Open),,142
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
284,Hi-Hat (Open),,,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
285,Snare Drum,Hi-Hat (Open),,143
e,,,,
&,Hi-Hat (Open),,,
a,,,,
286,Bass Drum,Tom-tom,,
e,,,,
&,Tom-tom,Snare Drum,,
a,,,,
287,Tom-tom,Snare Drum,,144
e,,,,
&,Tom-tom,Snare Drum,,
a,,,,
288,Tom-tom,Snare Drum,,
e,,,,
&,Tom-tom,Snare Drum,,
a,,,,
289,Tom-tom,Snare Drum,,145
e,,,,
&,Tom-tom,Snare Drum,,
a,,,,
290,Tom-tom,Snare Drum,,
e,,,,
&,Tom-tom,Snare Drum,,
a,,,,
291,Tom-tom,Snare Drum,,146
e,,,,
&,Tom-tom,Snare Drum,,
a,,,,
292,Tom-tom,Snare Drum,,
e,,,,
&,Tom-tom,Snare Drum,,
a,,,,
293,Snare Drum,Snare Drum,,147
e,,,,
&,,,,
a,,,,
294,Bass Drum,Tom-tom,,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
295,Snare Drum,Hi-Hat (Open),,148
e,,,,
&,Bass Drum,Tom-tom,,
a,,,,
296,Hi-Hat (Open),,,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
297,Snare Drum,Hi-Hat (Open),,149
e,,,,
&,Hi-Hat (Open),,,
a,,,,
298,Bass Drum,Tom-tom,,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
299,Snare Drum,Hi-Hat (Open),,150
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
300,Hi-Hat (Open),,,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
301,Snare Drum,Hi-Hat (Open),,151
e,,,,
&,Hi-Hat (Open),,,
a,,,,
302,Bass Drum,Tom-tom,,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
303,Snare Drum,Hi-Hat (Open),,152
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
304,Hi-Hat (Open),,,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
305,Snare Drum,Hi-Hat (Open),,153
e,,,,
&,Hi-Hat (Open),,,
a,,,,
306,Bass Drum,Tom-tom,,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
307,Snare Drum,Hi-Hat (Open),,154
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
308,Bass Drum,Tom-tom,,
e,,,,
&,,,,
a,,,,
309,Bass Drum,Tom-tom,,155
e,,,,
&,,,,
a,,,,
310,Bass Drum,Ghost Note,,
e,,,,
&,Ghost Note,,,
a,,,,
311,Snare Drum,Ghost Note,,156
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
312,Ghost Note,,,
e,,,,
&,Ghost Note,,,
a,,,,
313,Snare Drum,Ghost Note,,157
e,,,,
&,Ghost Note,,,
a,,,,
314,Bass Drum,Ghost Note,,
e,,,,
&,Ghost Note,,,
a,,,,
315,Snare Drum,Ghost Note,,158
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
316,Ghost Note,,,
e,,,,
&,Ghost Note,,,
a,,,,
317,Snare Drum,Ghost Note,,159
e,,,,
&,Ghost Note,,,
a,,,,
318,Bass Drum,Ghost Note,,
e,,,,
&,Ghost Note,,,
a,,,,
319,Snare Drum,Ghost Note,,160
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
320,Ghost Note,,,
e,,,,
&,Ghost Note,,,
a,,,,
321,Snare Drum,Ghost Note,,161
e,,,,
&,Ghost Note,,,
a,,,,
322,Ghost Note,,,
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
323,Snare Drum,Ghost Note,,162
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
324,Bass Drum,Ghost Note,,
e,,,,
&,Ghost Note,,,
a,,,,
325,Snare Drum,Ghost Note,,163
e,,,,
&,Ghost Note,,,
a,,,,
326,Bass Drum,Ghost Note,,
e,,,,
&,Ghost Note,,,
a,,,,
327,Snare Drum,Ghost Note,,164
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
328,Ghost Note,,,
e,,,,
&,Ghost Note,,,
a,,,,
329,Snare Drum,Ghost Note,,165
e,,,,
&,Ghost Note,,,
a,,,,
330,Bass Drum,Ghost Note,,
e,,,,
&,Ghost Note,,,
a,,,,
331,Snare Drum,Ghost Note,,166
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
332,Ghost Note,,,
e,,,,
&,Ghost Note,,,
a,,,,
333,Snare Drum,Ghost Note,,167
e,,,,
&,Ghost Note,,,
a,,,,
334,Bass Drum,Ghost Note,,
e,,,,
&,Ghost Note,,,
a,,,,
335,Snare Drum,Ghost Note,,168
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
336,Ghost Note,,,
e,,,,
&,Ghost Note,,,
a,,,,
337,Snare Drum,Ghost Note,,169
e,,,,
&,Ghost Note,,,
a,,,,
338,Ghost Note,,,
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
339,Snare Drum,Ghost Note,,170
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
340,Bass Drum,Ghost Note,,
e,,,,
&,Ghost Note,,,
a,,,,
341,Snare Drum,Ghost Note,,171
e,,,,
&,Snare Drum,Ghost Note,,
a,,,,
342,Bass Drum,Tom-tom,,
e,,,,
&,Ghost Note,,,
a,,,,
343,Snare Drum,Ghost Note,,172
e,,,,
&,Ghost Note,,,
a,,,,
344,Ghost Note,,,
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
345,Snare Drum,Ghost Note,,173
e,,,,
&,Ghost Note,,,
a,,,,
346,Bass Drum,Ghost Note,,
e,,,,
&,Ghost Note,,,
a,,,,
347,Snare Drum,Ghost Note,,174
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
348,Ghost Note,,,
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
349,Snare Drum,Ghost Note,,175
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
350,Snare Drum,Tom-tom,,
e,,,,
&,Tom-tom,Snare Drum,,
a,,,,
351,Tom-tom,Snare Drum,,176
e,,,,
&,Tom-tom,Snare Drum,,
a,,,,
352,Tom-tom,Snare Drum,,
e,,,,
&,Tom-tom,Snare Drum,,
a,,,,
353,Tom-tom,Snare Drum,,177
e,,,,
&,Tom-tom,Snare Drum,,
a,,,,
354,Tom-tom,Snare Drum,,
e,,,,
&,Tom-tom,Snare Drum,,
a,,,,
355,Tom-tom,Snare Drum,,178
e,,,,
&,Tom-tom,Snare Drum,,
a,,,,
356,Snare Drum,Snare Drum,,
e,,,,
&,Bass Drum,,,
a,,,,
357,Snare Drum,Snare Drum,,179
e,,,,
&,,,,
a,,,,
358,Bass Drum,Tom-tom,,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
359,Snare Drum,Hi-Hat (Open),,180
e,,,,
&,Bass Drum,Tom-tom,,
a,,,,
360,Hi-Hat (Open),,,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
361,Snare Drum,Hi-Hat (Open),,181
e,,,,
&,Hi-Hat (Open),,,
a,,,,
362,Bass Drum,Tom-tom,,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
363,Snare Drum,Hi-Hat (Open),,182
e,,,,
&,Bass Drum,Tom-tom,,
a,,,,
364,Hi-Hat (Open),,,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
365,Snare Drum,Hi-Hat (Open),,183
e,,,,
&,Hi-Hat (Open),,,
a,,,,
366,Bass Drum,Tom-tom,,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
367,Snare Drum,Hi-Hat (Open),,184
e,,,,
&,Bass Drum,Tom-tom,,
a,,,,
368,Hi-Hat (Open),,,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
369,Snare Drum,Hi-Hat (Open),,185
e,,,,
&,Hi-Hat (Open),,,
a,,,,
370,Bass Drum,Tom-tom,,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
371,Snare Drum,Hi-Hat (Open),,186
e,,,,
&,Hi-Hat (Open),,,
a,,,,
372,Bass Drum,Tom-tom,,
e,,,,
&,,,,
a,,,,
373,Bass Drum,Tom-tom,,187
e,,,,
&,,,,
a,,,,
374,Bass Drum,Tom-tom,,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
375,Snare Drum,Hi-Hat (Open),,188
e,,,,
&,Bass Drum,Tom-tom,,
a,,,,
376,Hi-Hat (Open),,,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
377,Snare Drum,Hi-Hat (Open),,189
e,,,,
&,Hi-Hat (Open),,,
a,,,,
378,Bass Drum,Tom-tom,,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
379,Snare Drum,Hi-Hat (Open),,190
e,,,,
&,Bass Drum,Tom-tom,,
a,,,,
380,Hi-Hat (Open),,,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
381,Snare Drum,Hi-Hat (Open),,191
e,,,,
&,Hi-Hat (Open),,,
a,,,,
382,Bass Drum,Tom-tom,,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
383,Snare Drum,Hi-Hat (Open),,192
e,,,,
&,Bass Drum,Tom-tom,,
a,,,,
384,Hi-Hat (Open),,,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
385,Snare Drum,Hi-Hat (Open),,193
e,,,,
&,Hi-Hat (Open),,,
a,,,,
386,Bass Drum,Tom-tom,,
e,,,,
&,Bass Drum,Tom-tom,,
a,,,,
387,,,,194
e,Bass Drum,Tom-tom,,
&,,,,
a,,,,
388,Bass Drum,Tom-tom,,
e,,,,
&,Bass Drum,Tom-tom,,
a,,,,
389,,,,195
e,Bass Drum,Tom-tom,,
&,,,,
a,,,,
390,Bass Drum,Tom-tom,,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
391,Snare Drum,Hi-Hat (Open),,196
e,,,,
&,Bass Drum,Tom-tom,,
a,,,,
392,Hi-Hat (Open),,,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
393,Snare Drum,Hi-Hat (Open),,197
e,,,,
&,Hi-Hat (Open),,,
a,,,,
394,Bass Drum,Tom-tom,,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
395,Snare Drum,Hi-Hat (Open),,198
e,,,,
&,Bass Drum,Tom-tom,,
a,,,,
396,Hi-Hat (Open),,,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
397,Snare Drum,Hi-Hat (Open),,199
e,,,,
&,Hi-Hat (Open),,,
a,,,,
398,Bass Drum,Tom-tom,,
e,,,,
&,,,,
a,,,,
399,Hi-Hat (Open),,,200
e,,,,
&,,,,
a,,,,
400,Hi-Hat (Open),,,
e,,,,
&,,,,
a,,,,
401,Hi-Hat (Open),,,201
e,,,,
&,,,,
a,,,,
402,Bass Drum,Tom-tom,,
,,,,
,,,,
,,,,
,Hi-Hat (Open),,,202
,,,,
,,,,
,,,,
,Bass Drum,Tom-tom,,
,,,,
,,,,
,,,,
,Hi-Hat (Open),,,
,,,,
,,,,
,,,,
,Bass Drum,Tom-tom,,
